func,start,end,is_cold,container_id,provider.request_id,request_id
map,1655122806.378766,1655122811.927976,True,a5474279,dd340c7d-35a4-4ab3-997f-357f45a113dc,91dfdc97
map,1655122806.553472,1655122812.319481,True,e608415a,dab02e23-92aa-4b6a-b569-07ff75dea627,ed253e54
map,1655122806.527907,1655122812.119814,True,db71b79f,e2369bfe-ee9b-4427-8192-9b1e73cd35d5,ed253e54
split,1655122800.617718,1655122805.996497,True,ca18e802,a8e7d122-52b8-46ef-9fa5-3807676772bb,ed253e54
reduce,1655122818.95161,1655122824.528553,True,62d50c0a,d55f6777-62a5-4822-93dc-ab33e7d87c13,ed253e54
reduce,1655122818.885028,1655122824.426263,True,b873b431,ffa3b7e5-644a-4bee-a86c-61dec7e65103,ed253e54
reduce,1655122818.903856,1655122824.285261,True,57adb3eb,b4030b16-0719-4366-a6e0-6fe5b1acb2e6,ed253e54
reduce,1655122818.887715,1655122824.45525,True,08fa3df4,957d3971-302b-4cdd-ae8d-55ad0dd9f22c,ed253e54
reduce,1655122818.905754,1655122824.647559,True,187dca5c,63a34180-5dac-4aac-8945-e60744e3a827,ed253e54
map,1655122806.552498,1655122812.585936,True,32af58aa,2fc97e8b-4288-4491-8352-8ad21bdaa34f,ed253e54
shuffle,1655122813.005145,1655122818.324149,True,0126cb1c,b1b12e9d-f197-45b0-ab05-c3af0a6c1daa,ed253e54
reduce,1655122819.807097,1655122825.133256,True,1eee1e37,c3b5dca4-73a3-4652-b186-7eb1772a0c41,75e3faf4
reduce,1655122819.837738,1655122825.786732,True,6c527eee,563bf7f9-8042-48ef-be64-b755da398dda,75e3faf4
reduce,1655122819.805986,1655122825.2566,True,2cf90e4e,2b1ff629-46a0-4bd0-955d-70fe92d6fdb1,75e3faf4
map,1655122806.916731,1655122812.600384,True,c2849d78,fadae7d7-3b2b-4d00-b3d6-c1e297508004,75e3faf4
reduce,1655122819.840964,1655122825.289633,True,3ee13b78,d04e7c39-f693-4a9b-b4a8-78bd06a6f6fd,75e3faf4
map,1655122806.833214,1655122812.572708,True,00d01b4d,94d8a92b-1d83-4092-b719-25feea43e625,75e3faf4
shuffle,1655122813.393992,1655122819.083898,True,beb71f72,7fad865f-75dc-425e-8024-4f9eca8070aa,75e3faf4
split,1655122800.589455,1655122806.316216,True,bc289657,1cf3f0a5-16ce-4f3a-88dd-835be295206e,75e3faf4
map,1655122806.895789,1655122812.937345,True,c177f8ed,5f004c60-ca81-4fdd-abae-a0aab271fe47,75e3faf4
reduce,1655122819.818346,1655122825.411876,True,65d4345e,adb86d43-e19f-4f15-aa37-cc8227f0111f,75e3faf4
map,1655122807.05774,1655122813.224066,True,75eab1da,97952694-37e7-4ba9-81fd-23630adfab1d,fc0c89cc
reduce,1655122820.084448,1655122825.84059,True,4c62e8dc,b6c50f77-889a-49d3-bd2a-283062f548df,fc0c89cc
map,1655122806.637903,1655122812.367205,True,f3fb1c95,c711bb8a-bfff-4ffc-b917-c4dc0a5ba4e1,fc0c89cc
